,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
8516,,04/17/2020 11:40:00 AM,20-021775,ASSAULT,09X,5100 BROADWAY,Oakland,CA,"5100 BROADWAY
Oakland, CA
(37.835394, -122.251678)",37.8349563,-122.2486385
8517,,04/28/2020 12:00:00 AM,20-909720,BURGLARY-AUTO,25X,5100 DAISY ST,Oakland,CA,"5100 DAISY ST
Oakland, CA
(37.784941, -122.180893)",37.78509409999999,-122.1809686
8518,WEAPONS,03/24/2020 12:46:00 PM,20-015984,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,27Y,1400 48TH AV,Oakland,CA,"1400 48TH AV
Oakland, CA
(37.770442, -122.209376)",37.7700103,-122.2097238
8519,MISDEMEANOR ASSAULT,03/19/2020 05:00:00 PM,20-015280,THEFT,32Y,9800 STANLEY AV,Oakland,CA,"9800 STANLEY AV
Oakland, CA
(37.752337, -122.153432)",37.7523008,-122.1534044
8520,FORGERY & COUNTERFEITING,04/20/2020 02:50:00 PM,20-908871,THEFT BY USE OF ACCESS CARD,17Y,2500 13TH AV,Oakland,CA,"2500 13TH AV
Oakland, CA
(37.797047, -122.237113)",37.79707,-122.2370884
8521,STOLEN VEHICLE,04/18/2020 08:33:00 AM,20-019750,VEHICLE THEFT - AUTO,18X,19TH AV & COMMERCE WY,Oakland,CA,"19TH AV & COMMERCE WY
Oakland, CA
(37.789438, -122.238265)",37.7893845,-122.2382509
8522,,04/30/2020 12:00:00 PM,20-021908,BURGLARY-AUTO,18Y,IFO 3230 14TH AV,Oakland,CA,"IFO 3230 14TH AV
Oakland, CA",37.7998456,-122.22782
8523,DISORDERLY CONDUCT,04/19/2020 05:07:00 AM,20-019890,DISTURB THE PEACE,26X,900 45TH AV,Oakland,CA,"900 45TH AV
Oakland, CA
(37.769186, -122.215901)",37.7689264,-122.2158791
8524,,04/28/2020 10:00:00 PM,20-021898,BURGLARY-AUTO,22Y,3400 LAUREL AV,Oakland,CA,"3400 LAUREL AV
Oakland, CA
(37.794593, -122.205373)",37.794442,-122.2055142
8525,,03/18/2020 06:00:00 PM,20-015223,VEHICLE THEFT - AUTO,19X,1400 9TH AV,Oakland,CA,"1400 9TH AV
Oakland, CA
(37.792811, -122.250527)",37.7927277,-122.2503309
