,Category,X,Y
1872145,SUSPICIOUS OCC,-122.39973600480916,37.79178340294753
1872150,SUSPICIOUS OCC,-122.40401339245443,37.78890476787174
1872153,DRUG/NARCOTIC,-122.41838200860715,37.78325837709494
1872158,OTHER OFFENSES,-122.41015706266174,37.798353195429094
1872160,ASSAULT,-122.41443315506254,37.78465763292555
1872175,ASSAULT,-122.44582072228351,37.78248739671767
1872187,OTHER OFFENSES,-122.4107742143754,37.80843501758691
1872190,OTHER OFFENSES,-122.41564248785478,37.77883231587925
1872213,ASSAULT,-122.41921219863598,37.76102441670228
1872219,NON-CRIMINAL,-122.4226962250112,37.775485819488566
1872220,OTHER OFFENSES,-122.39847241600019,37.783342091672075
1872227,LARCENY/THEFT,-122.4203737187009,37.80572044288557
1872230,NON-CRIMINAL,-122.49503656783443,37.77486532448706
1872235,MISSING PERSON,-122.44443220795378,37.77463542236274
1872237,WARRANTS,-122.41623585237942,37.784912573847635
1872239,OTHER OFFENSES,-122.49283714595944,37.74229404930993
1872240,SUSPICIOUS OCC,-122.42355991560957,37.775795803337004
1872244,OTHER OFFENSES,-122.48580522971324,37.77905600093739
1872245,OTHER OFFENSES,-122.41550824278185,37.78165428060756
1872250,BURGLARY,-122.43440245623032,37.79204875282917
1872257,WEAPON LAWS,-122.41015706266174,37.798353195429094
1872266,OTHER OFFENSES,-122.41401325413584,37.77052683362326
1872269,LARCENY/THEFT,-122.48687833213572,37.77999237013208
1872278,ASSAULT,-122.41689153686184,37.80521123149436
1872279,FORGERY/COUNTERFEITING,-122.41966671791742,37.77468233298753
1872282,LARCENY/THEFT,-122.47564746078615,37.72852806274646
1872284,LARCENY/THEFT,-122.41828927686586,37.75064029392298
1872288,FRAUD,-122.43180994733385,37.79750147805806
1872299,DRUG/NARCOTIC,-122.41541417863054,37.78447665902199
1872313,NON-CRIMINAL,-122.44166781591134,37.78981987703952
1872315,LARCENY/THEFT,-122.42950238436926,37.801184163232
1872318,NON-CRIMINAL,-122.45224265736972,37.771228676186944
1872319,LARCENY/THEFT,-122.43367689224377,37.788446115725755
1872327,VEHICLE THEFT,-122.45245937094751,37.73607874612149
1872329,NON-CRIMINAL,-122.40701649097079,37.77739964018423
1872338,OTHER OFFENSES,-122.43604920358575,37.79984122288228
1872347,OTHER OFFENSES,-122.40484435024469,37.7132172373649
1872348,ASSAULT,-122.43000934816307,37.72457766671811
1872355,ASSAULT,-122.41947824791669,37.763050767730974
1872356,ASSAULT,-122.39800417733984,37.71903317873178
1872359,LARCENY/THEFT,-122.42197091902916,37.74237522452553
1872365,LARCENY/THEFT,-122.40502577845774,37.792508340252006
1872376,ROBBERY,-122.43171008258426,37.761141881332705
1872380,DRUG/NARCOTIC,-122.41553300799913,37.782137299784225
1872381,VEHICLE THEFT,-122.45245937094751,37.73607874612149
1872386,DRUG/NARCOTIC,-122.4131706984591,37.772616317775174
1872388,SECONDARY CODES,-122.4310463660887,37.78302957160442
1872389,WARRANTS,-122.45686244436773,37.77740136165575
1872391,NON-CRIMINAL,-122.41965834371042,37.76422056037451
1872407,LARCENY/THEFT,-122.40825466404827,37.79582231413293
1872416,WEAPON LAWS,-122.41557882881042,37.80447069483041
1872424,OTHER OFFENSES,-122.49390474734696,37.742245771883724
1872426,ASSAULT,-122.41564248785478,37.77883231587925
1872427,NON-CRIMINAL,-122.43858055615952,37.77825383578875
1872434,DRUG/NARCOTIC,-122.41838200860715,37.78325837709494
1872442,STOLEN PROPERTY,-122.49550276929114,37.74870684868631
1872448,VEHICLE THEFT,-122.48733612101823,37.74809370626353
1872465,ASSAULT,-122.42596311156973,37.72864127516607
1872488,ASSAULT,-122.38359936434631,37.72801023160976
1872495,VEHICLE THEFT,-122.4278483817068,37.73630578022946
1872496,VANDALISM,-122.36556542535305,37.80967070132394
1872501,OTHER OFFENSES,-122.43604920358575,37.79984122288228
1872517,ROBBERY,-122.38624233134544,37.72660567943315
1872519,OTHER OFFENSES,-122.49283714595944,37.74229404930993
1872532,ARSON,-122.41772042465172,37.710661234774896
1872534,OTHER OFFENSES,-122.38359936434631,37.72801023160976
1872536,LARCENY/THEFT,-122.42161949365423,37.77343393727296
1872540,OTHER OFFENSES,-122.40484435024469,37.7132172373649
1872541,ASSAULT,-122.50806975252769,37.75937691039444
1872548,OTHER OFFENSES,-122.43378476438228,37.78028736528631
1872550,WARRANTS,-122.41623585237942,37.784912573847635
1872551,BURGLARY,-122.38069983066751,37.72971944197382
1872552,WARRANTS,-122.42285771955805,37.805444041394416
1872554,OTHER OFFENSES,-122.40264472918872,37.79421166550123
1872556,VEHICLE THEFT,-122.41275884614454,37.784399750019205
1872574,OTHER OFFENSES,-122.39891258187536,37.788628732065355
1872576,LARCENY/THEFT,-122.40367811241356,37.797297202947924
1872580,STOLEN PROPERTY,-122.38359936434631,37.72801023160976
1872584,"SEX OFFENSES, FORCIBLE",-122.42821181151557,37.724694505942175
1872591,FRAUD,-122.40307088677874,37.78778674234962
1872592,OTHER OFFENSES,-122.38359936434631,37.72801023160976
1872598,NON-CRIMINAL,-122.39733759682196,37.77889349338595
1872609,LARCENY/THEFT,-122.39987572356705,37.79872922505529
1872614,ASSAULT,-122.39786937047232,37.76571655101621
1872623,OTHER OFFENSES,-122.41987691713402,37.76957974718961
1872627,LARCENY/THEFT,-122.48098135067328,37.780134149160745
1872628,WEAPON LAWS,-122.41469306525651,37.75889559475723
1872629,DRUG/NARCOTIC,-122.41316313427592,37.77499264453848
1872630,OTHER OFFENSES,-122.41965834371042,37.76422056037451
1872638,OTHER OFFENSES,-122.43370821653532,37.71314522138513
1872643,OTHER OFFENSES,-122.43180994733385,37.79750147805806
1872644,WARRANTS,-122.41951570840605,37.76342923284962
1872645,LARCENY/THEFT,-122.40307000084677,37.785268630908725
1872647,OTHER OFFENSES,-122.48580522971324,37.77905600093739
1872652,LARCENY/THEFT,-122.41942438376307,37.76323238695212
1872653,DRUG/NARCOTIC,-122.41541417863054,37.78447665902199
1872663,SUSPICIOUS OCC,-122.4366573757694,37.76073565737122
1872664,LARCENY/THEFT,-122.40592676980104,37.797278331576216
1872672,NON-CRIMINAL,-122.41557882881042,37.80447069483041
1872674,LARCENY/THEFT,-122.44944537444604,37.7466596250717
1872675,LARCENY/THEFT,-122.40334454479229,37.78983682594985
1872676,WARRANTS,-122.41193561574543,37.78000644202978
1872677,SECONDARY CODES,-122.41987691713402,37.76957974718961
1872686,ASSAULT,-122.43991673512295,37.772761187063175
1872694,ASSAULT,-122.41564248785478,37.77883231587925
1872701,OTHER OFFENSES,-122.44264969637385,37.79899924700105
1872718,LARCENY/THEFT,-122.39915226019907,37.79101661306821
1872722,VANDALISM,-122.44571766892223,37.77208097723925
1872727,ROBBERY,-122.42596311156973,37.72864127516607
1872728,SUSPICIOUS OCC,-122.41553300799913,37.782137299784225
1872730,VANDALISM,-122.41251534135559,37.780477748050814
1872733,NON-CRIMINAL,-122.45245937094751,37.73607874612149
1872738,LARCENY/THEFT,-122.40441762074819,37.7963018735739
1872739,OTHER OFFENSES,-122.46034732469013,37.74645068150274
1872755,OTHER OFFENSES,-122.41508872104643,37.7836719564372
1872760,ROBBERY,-122.42446746767048,37.73606047573263
1872762,OTHER OFFENSES,-122.4131706984591,37.772616317775174
1872764,FRAUD,-122.44568586555114,37.71795294341901
1872769,ASSAULT,-122.44065959380363,37.71682351563018
1872771,LARCENY/THEFT,-122.41159309570412,37.78305295107821
1872783,WARRANTS,-122.41161507540771,37.78316141093946
1872794,LARCENY/THEFT,-122.41162615229923,37.77858957403122
1872796,NON-CRIMINAL,-122.39845951280918,37.787018225065275
1872798,ASSAULT,-122.39800417733984,37.71903317873178
1872801,NON-CRIMINAL,-122.4329511321977,37.76261907533998
1872804,OTHER OFFENSES,-122.51364206426544,37.77846921994672
1872809,SUSPICIOUS OCC,-122.40535579117254,37.8037825925855
1872810,LARCENY/THEFT,-122.40409466245012,37.78725609279935
1872820,BURGLARY,-122.38359936434631,37.72801023160976
1872825,DRUG/NARCOTIC,-122.4131706984591,37.772616317775174
1872827,ASSAULT,-122.4129305220591,37.78383443741413
1872832,LARCENY/THEFT,-122.4131076226929,37.765448018026596
1872840,OTHER OFFENSES,-122.43370821653532,37.71314522138513
1872841,WARRANTS,-122.41076379870155,37.804009316485406
1872842,"SEX OFFENSES, FORCIBLE",-122.42821181151557,37.724694505942175
1872843,BURGLARY,-122.47564746078615,37.72852806274646
1872847,ASSAULT,-122.40871060666346,37.78097067220534
1872852,DRUG/NARCOTIC,-122.41569492213361,37.782585196846725
1872863,VANDALISM,-122.3996666355976,37.79736626168483
1872876,LARCENY/THEFT,-122.43367689224377,37.788446115725755
1872878,FRAUD,-122.40737096526716,37.79924012538322
1872900,ASSAULT,-122.41619270050892,37.71851017752904
1872913,LARCENY/THEFT,-122.42285771955805,37.805444041394416
1872914,FORGERY/COUNTERFEITING,-122.41827069671908,37.80785198380142
1872921,TRESPASS,-122.4427425032864,37.786739385607035
1872923,ASSAULT,-122.41950819752148,37.788856542138255
1872925,LARCENY/THEFT,-122.41414497649204,37.70848456095517
1872928,ASSAULT,-122.41512058933772,37.781758936640536
1872934,DRIVING UNDER THE INFLUENCE,-122.42708370583652,37.79719996106832
1872935,NON-CRIMINAL,-122.48098135067328,37.780134149160745
1872942,SUSPICIOUS OCC,-122.405582629186,37.78546596791508
1872959,ASSAULT,-122.46007934848728,37.72480135641886
1872967,LARCENY/THEFT,-122.39439693880665,37.73187111594587
1872969,OTHER OFFENSES,-122.41950819752148,37.788856542138255
1872976,WEAPON LAWS,-122.41784155094611,37.78895368723172
1872977,NON-CRIMINAL,-122.4162596189654,37.806186121266826
1872979,SUSPICIOUS OCC,-122.46101562098283,37.731678496667655
1872980,LARCENY/THEFT,-122.41564248785478,37.77883231587925
1872985,ASSAULT,-122.42619218027515,37.72160840860921
1872987,ASSAULT,-122.38931064460691,37.738741839511036
1872992,WARRANTS,-122.41838200860715,37.78325837709494
1872995,BURGLARY,-122.40092276104882,37.794959803128
1872996,WEAPON LAWS,-122.44264969637385,37.79899924700105
1872997,NON-CRIMINAL,-122.40228864968613,37.72465237940485
1872998,ASSAULT,-122.41687288366363,37.75876402011318
1873003,SUSPICIOUS OCC,-122.4379012091023,37.71987625593735
1873005,VEHICLE THEFT,-122.46802231254055,37.77330393814679
1873018,BURGLARY,-122.43180994733385,37.79750147805806
1873021,ASSAULT,-122.45224265736972,37.771228676186944
1873023,OTHER OFFENSES,-122.41544875956171,37.77829352012903
1873024,BURGLARY,-122.41623585237942,37.784912573847635
1873031,ASSAULT,-122.40340479147905,37.775420706711
1873033,MISSING PERSON,-122.45283977238888,37.774514538085434
1873034,LARCENY/THEFT,-122.41967178029562,37.76505012146682
1873038,NON-CRIMINAL,-122.41015706266174,37.798353195429094
1873048,NON-CRIMINAL,-122.41480778874693,37.78550290336525
1873057,SUSPICIOUS OCC,-122.49137562916364,37.74428774248729
1873060,OTHER OFFENSES,-122.38655575027005,37.74195042383585
1873061,NON-CRIMINAL,-122.43490657683628,37.76952536223194
1873063,BURGLARY,-122.40438504230256,37.772195819034536
1873064,WEAPON LAWS,-122.419208249507,37.76023407536052
1873067,OTHER OFFENSES,-122.41689153686184,37.80521123149436
1873077,FRAUD,-122.41093920555171,37.779212259008546
1873082,LARCENY/THEFT,-122.41694856587593,37.780468926847924
1873086,WARRANTS,-122.41193561574543,37.78000644202978
1873087,LARCENY/THEFT,-122.45471549502463,37.78139703255236
1873091,OTHER OFFENSES,-122.40647997586424,37.741057552812975
1873092,LARCENY/THEFT,-122.39532966298277,37.796665298301406
1873093,"SEX OFFENSES, FORCIBLE",-122.42821181151557,37.724694505942175
1873110,ASSAULT,-122.39506284986332,37.76654435620811
1873111,OTHER OFFENSES,-122.40340479147905,37.775420706711
1873114,NON-CRIMINAL,-122.41572168800569,37.78306798869189
1873120,VANDALISM,-122.41076876634321,37.78321451900128
1873122,OTHER OFFENSES,-122.47438196277798,37.78528312366768
1873125,OTHER OFFENSES,-122.472101144619,37.746006663502115
1873126,DRUG/NARCOTIC,-122.4198145938115,37.76584272133717
1873132,WARRANTS,-122.39124562301932,37.73322520328042
1873134,OTHER OFFENSES,-122.43366005860472,37.79636712094117
1873142,VEHICLE THEFT,-122.42980923407335,37.75315793969353
1873143,LARCENY/THEFT,-122.40647997586424,37.741057552812975
1873145,WARRANTS,-122.4065209871443,37.785062942166064
1873148,ROBBERY,-122.41698018160014,37.78097701237048
1873149,ASSAULT,-122.48143481006436,37.74932656914529
1873165,LARCENY/THEFT,-122.42152288487192,37.77802112575825
1873170,NON-CRIMINAL,-122.47033586906058,37.70927019416085
1873171,OTHER OFFENSES,-122.3879273876092,37.7427030847405
1873172,WARRANTS,-122.3879273876092,37.7427030847405
1873174,LARCENY/THEFT,-122.40379325948861,37.78232358976164
1873175,DRUG/NARCOTIC,-122.4373939725168,37.72141206213905
1873181,ROBBERY,-122.47609606529792,37.75143288437759
1873183,WARRANTS,-122.4135916955608,37.763822225942114
1873184,DRUG/NARCOTIC,-122.41918309636223,37.78309982445922
1873187,OTHER OFFENSES,-122.49371734448135,37.73190931279987
1873188,VANDALISM,-122.41945807315328,37.78449901979975
1873200,BURGLARY,-122.47188175123594,37.749747755076925
1873201,OTHER OFFENSES,-122.40037799404871,37.7826462926371
1873202,DRUG/NARCOTIC,-122.4461656179778,37.77016118133929
1873203,ROBBERY,-122.40913193948904,37.75279699855845
1873207,VEHICLE THEFT,-122.43366005860472,37.79636712094117
1873208,VANDALISM,-122.43300956477024,37.75142394120171
1873215,ASSAULT,-122.41142602410775,37.752601970604246
1873217,LARCENY/THEFT,-122.41733583044069,37.79870997244449
1873219,LARCENY/THEFT,-122.43422118471848,37.76422370704821
1873220,LARCENY/THEFT,-122.41550824278185,37.78165428060756
1873222,OTHER OFFENSES,-122.42358068715048,37.739884956595716
1873224,OTHER OFFENSES,-122.41135042192015,37.710603885371754
1873227,BRIBERY,-122.41710798699295,37.71225618275243
1873230,NON-CRIMINAL,-122.40697756369153,37.78991810168596
1873234,WARRANTS,-122.43996772889138,37.75577632041228
1873238,NON-CRIMINAL,-122.39291292907568,37.782592078782265
1873240,OTHER OFFENSES,-122.41626863271456,37.75237351495985
1873241,NON-CRIMINAL,-122.42189528036025,37.730111042013476
1873243,BURGLARY,-122.40070537990394,37.78753636082185
1873249,OTHER OFFENSES,-122.42468870359129,37.785333964030634
1873251,SUSPICIOUS OCC,-122.42000143696421,37.77409485668817
1873253,VEHICLE THEFT,-122.43555202388357,37.711582136397396
1873254,DRUG/NARCOTIC,-122.42174765046309,37.76274366011474
1873260,ASSAULT,-122.39208423065055,37.73739925229345
1873261,NON-CRIMINAL,-122.43515009981228,37.76175972435981
1873266,ROBBERY,-122.41474383538244,37.778719262789004
1873269,NON-CRIMINAL,-122.41096538921735,37.75975037521489
1873270,SUSPICIOUS OCC,-122.41398052096727,37.77556873258243
1873275,WARRANTS,-122.39410262452486,37.7763827130285
1873276,NON-CRIMINAL,-122.46494471615613,37.774384171506966
1873281,OTHER OFFENSES,-122.41054932172108,37.74831577428621
1873288,WARRANTS,-122.45142845539577,37.771299296632435
1873293,WARRANTS,-122.4291287834775,37.76945561785929
1873296,NON-CRIMINAL,-122.44636889254835,37.76721913966409
1873299,BURGLARY,-122.48115003247023,37.75868973156873
1873300,VEHICLE THEFT,-122.4004735801524,37.78502906118745
1873301,OTHER OFFENSES,-122.40891920302452,37.73850061059461
1873308,LARCENY/THEFT,-122.47410271041605,37.74317449699626
1873312,LARCENY/THEFT,-122.434457353955,37.76097660908455
1873313,OTHER OFFENSES,-122.40143275472195,37.80045664710391
1873319,WARRANTS,-122.41918309636223,37.78309982445922
1873320,OTHER OFFENSES,-122.44672935049877,37.79470445696069
1873323,BURGLARY,-122.43486175617208,37.79806936082598
1873328,LARCENY/THEFT,-122.40535937175287,37.78597747616253
1873329,VANDALISM,-122.40386454197592,37.798222643742704
1873333,DRUG/NARCOTIC,-122.41923053419802,37.77203325864065
1873334,ASSAULT,-122.48143481006436,37.74932656914529
1873336,FRAUD,-122.41931732406994,37.787913697910575
1873338,OTHER OFFENSES,-122.41474383538244,37.778719262789004
1873339,LARCENY/THEFT,-122.41486276874413,37.749237403015925
1873341,NON-CRIMINAL,-122.36556542535305,37.80967070132394
1873350,NON-CRIMINAL,-122.42174765046309,37.76274366011474
1873351,ASSAULT,-122.4146238497854,37.75241809285709
1873357,LARCENY/THEFT,-122.4279911519107,37.78495312416125
1873359,TRESPASS,-122.43518769934856,37.762670277087224
1873365,OTHER OFFENSES,-122.5102257490522,37.767244220961615
1873368,MISSING PERSON,-122.44839135367322,37.7688641049016
1873379,ASSAULT,-122.41710798699295,37.71225618275243
1873380,SECONDARY CODES,-122.44358463971668,37.774197915008735
1873387,NON-CRIMINAL,-122.41687288366363,37.75876402011318
1873389,LARCENY/THEFT,-122.4065209871443,37.785062942166064
1873394,ASSAULT,-122.41180013475322,37.78408903668685
1873398,TRESPASS,-122.48815618337734,37.74442946191269
1873402,SECONDARY CODES,-122.40196836177263,37.735613803478266
1873407,ASSAULT,-122.41967178029562,37.76505012146682
1873411,OTHER OFFENSES,-122.41880958137476,37.781235256989994
1873416,DISORDERLY CONDUCT,-122.41275875949897,37.78509609637261
1873422,SUSPICIOUS OCC,-122.40535937175287,37.78597747616253
1873430,NON-CRIMINAL,-122.40650848700324,37.78033132090649
1873431,VANDALISM,-122.42027922768006,37.7481246616016
1873438,VANDALISM,-122.43781027623615,37.70933773781018
1873442,VANDALISM,-122.477811526905,37.75696927347186
1873443,OTHER OFFENSES,-122.42358068715048,37.739884956595716
1873449,ARSON,-122.42225346694487,37.790862723944066
1873450,DRUG/NARCOTIC,-122.41635198735192,37.7816031438671
1873455,WARRANTS,-122.40340479147905,37.775420706711
1873458,OTHER OFFENSES,-122.42119522181522,37.78475365775609
1873459,VEHICLE THEFT,-122.43340929426132,37.767459890623755
1873462,DRUG/NARCOTIC,-122.4373939725168,37.72141206213905
1873463,LARCENY/THEFT,-122.39774156658872,37.76507286767736
1873465,LARCENY/THEFT,-122.42002175522795,37.74539016807769
1873467,DRUG/NARCOTIC,-122.41398052096727,37.77556873258243
1873468,STOLEN PROPERTY,-122.43366005860472,37.79636712094117
1873474,VEHICLE THEFT,-122.41698018160014,37.78097701237048
1873476,WEAPON LAWS,-122.40661055209738,37.73089637532528
1873480,ASSAULT,-122.41859672745865,37.75383820485006
1873481,NON-CRIMINAL,-122.4939047474536,37.742245771991776
1873483,OTHER OFFENSES,-122.3937926943852,37.78056818998299
1873487,OTHER OFFENSES,-122.49371734448135,37.73190931279987
1873489,OTHER OFFENSES,-122.42358068715048,37.739884956595716
1873490,LARCENY/THEFT,-122.461467578211,37.71748712827181
1873491,WEAPON LAWS,-122.4057143062296,37.76653367172013
1873496,ASSAULT,-122.4179492178342,37.76972086304567
1873497,BURGLARY,-122.4497937951308,37.76533297677861
1873498,SUSPICIOUS OCC,-122.41799927869069,37.785640752664364
1873499,OTHER OFFENSES,-122.41626863271456,37.75237351495985
1873503,OTHER OFFENSES,-122.40727866079284,37.80741901490018
1873505,SUSPICIOUS OCC,-122.40271197323973,37.79002839977281
1873507,MISSING PERSON,-122.50085742698305,37.76484266205505
1873512,DRUG/NARCOTIC,-122.41635198735192,37.7816031438671
1873513,OTHER OFFENSES,-122.48384406402478,37.75204370947532
1873517,MISSING PERSON,-122.45070991914436,37.76952622706932
1873521,NON-CRIMINAL,-122.42806653520084,37.72139548932775
1873528,LARCENY/THEFT,-122.40684419002676,37.78922607995485
1873529,ROBBERY,-122.4027010718328,37.74633586686959
1873530,LARCENY/THEFT,-122.41559416477357,37.80681005842163
1873531,ASSAULT,-122.39708918386793,37.753598788032654
1873537,VANDALISM,-122.40043884725986,37.80152472792079
1873541,LARCENY/THEFT,-122.44816192470086,37.77182547530617
1873544,SUSPICIOUS OCC,-122.42002595593857,37.78305001407372
1873545,BURGLARY,-122.42283580175655,37.805335573675855
1873546,ASSAULT,-122.41710798699295,37.71225618275243
1873549,OTHER OFFENSES,-122.41275875949897,37.78509609637261
1873554,SECONDARY CODES,-122.41905269434929,37.75863240515618
1873555,LARCENY/THEFT,-122.42683274198605,37.77925847443522
1873556,VEHICLE THEFT,-122.43799017632729,37.77592486534604
1873558,VANDALISM,-122.40786316479664,37.712628493611454
1873559,ASSAULT,-122.41363125325846,37.784805374621094
1873564,VEHICLE THEFT,-122.41905269434929,37.75863240515618
1873571,OTHER OFFENSES,-122.41135042192015,37.710603885371754
1873572,BURGLARY,-122.40037799404871,37.7826462926371
1873573,WEAPON LAWS,-122.40196836177263,37.735613803478266
1873577,NON-CRIMINAL,-122.44017575856718,37.74778096995946
1873580,LARCENY/THEFT,-122.43327467795672,37.78608623872815
1873586,VEHICLE THEFT,-122.4185005844343,37.77643809444441
1873588,ASSAULT,-122.4146238497854,37.75241809285709
1873590,OTHER OFFENSES,-122.42358068715048,37.739884956595716
1873592,VANDALISM,-122.41875125282944,37.78511600494293
1873600,VEHICLE THEFT,-122.42241910072987,37.78656274875842
1873603,"SEX OFFENSES, FORCIBLE",-122.39944365894242,37.73017601616475
1873608,OTHER OFFENSES,-122.41474383538244,37.778719262789004
1873610,OTHER OFFENSES,-122.40697756369153,37.78991810168596
1873613,OTHER OFFENSES,-122.40340479147905,37.775420706711
1873616,LARCENY/THEFT,-122.44819803856714,37.78988599086605
1873617,LARCENY/THEFT,-122.42354523204223,37.779672005547965
1873619,OTHER OFFENSES,-122.40143275472195,37.80045664710391
1873630,ASSAULT,-122.41111585417862,37.784608081888656
1873632,NON-CRIMINAL,-122.4522960893348,37.73062156537254
1873633,ASSAULT,-122.39208423065055,37.73739925229345
1873636,LARCENY/THEFT,-122.41994163626431,37.80774879044733
1873640,NON-CRIMINAL,-122.45142845539577,37.771299296632435
1873641,LARCENY/THEFT,-122.45168280515884,37.79034626857866
1873643,DRUG/NARCOTIC,-122.41838200860715,37.78325837709494
1873647,ASSAULT,-122.3949858759245,37.77709095340233
1873654,OTHER OFFENSES,-122.43366005860472,37.79636712094117
1873658,ROBBERY,-122.41938592708568,37.762833092679465
1873660,DRUG/NARCOTIC,-122.41283433212864,37.777790309424574
1873661,ROBBERY,-122.40795905451787,37.80250480394416
1873663,NON-CRIMINAL,-122.42768226481701,37.76831480085024
1873666,WEAPON LAWS,-122.41474383538244,37.778719262789004
1873668,LARCENY/THEFT,-122.39630535623716,37.79325720033089
1873678,VANDALISM,-122.41967178029562,37.76505012146682
1873680,NON-CRIMINAL,-122.40324481523821,37.743794425603426
1873687,TRESPASS,-122.41323751667595,37.78284302332129
1873688,ASSAULT,-122.4267260190843,37.72399731367655
1873692,SECONDARY CODES,-122.40697756369153,37.78991810168596
1873693,"SEX OFFENSES, FORCIBLE",-122.39703243652792,37.787824669437384
1873697,OTHER OFFENSES,-122.48130501918436,37.747461318190474
1873700,LARCENY/THEFT,-122.47564746078615,37.72852806274646
1873703,ASSAULT,-122.41742986085018,37.77853493543938
1873704,WARRANTS,-122.42138214615215,37.806490782980106
1873706,LARCENY/THEFT,-122.36556542535305,37.80967070132394
1873708,LARCENY/THEFT,-122.37685007634475,37.740193568432495
1873710,BURGLARY,-122.41983289014406,37.767462526182506
1873712,LARCENY/THEFT,-122.45956459533743,37.72469268937862
1873720,OTHER OFFENSES,-122.39700008427126,37.79353047155304
1873721,OTHER OFFENSES,-122.41132836931128,37.78599630504763
1873729,OTHER OFFENSES,-122.41474383538244,37.778719262789004
1873731,ASSAULT,-122.41710798699295,37.71225618275243
1873732,OTHER OFFENSES,-122.39002724349493,37.77629978880415
1873737,LARCENY/THEFT,-122.49017024665066,37.74246823536251
1873740,OTHER OFFENSES,-122.41905269434929,37.75863240515618
1873742,WARRANTS,-122.40697756369153,37.78991810168596
1873749,VANDALISM,-122.4096963555585,37.78175405887116
1873750,LARCENY/THEFT,-122.42824276250921,37.786245553829175
1873753,NON-CRIMINAL,-122.46258036243492,37.76425572672729
1873754,ROBBERY,-122.405728477989,37.75181076802282
1873757,WARRANTS,-122.42225346694487,37.790862723944066
1873760,OTHER OFFENSES,-122.41931732406994,37.787913697910575
1873762,LARCENY/THEFT,-122.3955652621248,37.76263841731159
1873768,LARCENY/THEFT,-122.4156293324455,37.75723222791403
1873770,ASSAULT,-122.41474383538244,37.778719262789004
1873773,FORGERY/COUNTERFEITING,-122.44301939979265,37.784379892710746
1873778,FRAUD,-122.40096323290405,37.79260221725185
1873781,DRUG/NARCOTIC,-122.41398052096727,37.77556873258243
1873785,LARCENY/THEFT,-122.40669059226074,37.785207191841934
1873791,LARCENY/THEFT,-122.47564746078615,37.72852806274646
1873797,LARCENY/THEFT,-122.50022040362988,37.71895416694501
1873800,ROBBERY,-122.40143275472195,37.80045664710391
1873803,WARRANTS,-122.39092255340587,37.71987855247826
1873806,VEHICLE THEFT,-122.39837433248644,37.783419601716325
1873808,VEHICLE THEFT,-122.44989189111834,37.742321693021935
1873810,VEHICLE THEFT,-122.41480996635677,37.78651941116143
1873811,WARRANTS,-122.43009382302816,37.76851476479516
